;Gyro X;Gyro Y;Gyro Z;;Acc X;Acc Y;Acc Z;;BAR
Data 283;-15092;25561;-65495;-18342;-55507;-26099;10775;-23610,33333;-19926
Data 284;23038;-7452;56770;24118,66667;15821;63729;53653;44401;60682
Data 285;-39030;-21020;-42330;-34126,66667;-37021;-18656;11856;-14607;15319
Data 286;-53063;28638;51331;8968,666667;-4528;-8611;24656;3839;42953
Data 287;46264;-5002;-58159;-5632,333333;-54167;-42587;33554;-21066,66667;58627
Data 288;21179;28554;-49899;-55,33333333;-61465;30221;-54438;-28560,66667;-34991
Data 289;63875;33112;-57404;13194,33333;-17482;-52365;-16376;-28741;-59347
Data 290;-39072;-54598;-24330;-39333,33333;5940;35926;-14248;9206;-32499
Data 291;4122;44341;5134;17865,66667;58084;-2571;32288;29267;-2110
Data 292;42826;-63065;43761;7840,666667;-23707;-11293;-28451;-21150,33333;-53178
Data 293;-56004;50219;52588;15601;26852;61952;-30660;19381,33333;-39303
Data 294;-16957;21246;-10771;-2160,666667;-13487;-15513;2845;-8718,333333;22064
Data 295;-15846;-56667;60813;-3900;32003;23199;59930;38377,33333;-61313
Data 296;-62020;-53019;55871;-19722,66667;-18681;26412;7880;5203,666667;7502
Data 297;-48234;43351;63641;19586;10064;-5572;-43305;-12937,66667;54589
Data 298;-13698;-43595;893;-18800;44973;37828;-58476;8108,333333;45138
Data 299;-64265;54248;39947;9976,666667;-42107;50294;-10884;-899;24917
Data 300;7514;-62673;-62881;-39346,66667;-32686;44740;41289;17781;48883
Data 301;995;-26336;56523;10394;32868;-35881;-64188;-22400,33333;1500
Data 302;38708;60402;-64550;11520;46429;-43307;5292;2804,666667;-46655
Data 303;1672;-34021;3725;-9541,333333;-22945;10188;-16057;-9604,666667;-62412
Data 304;-52144;55585;6476;3305,666667;-14232;-55278;-50501;-40003,66667;21746
Data 305;;;;;;;;;
